LNR,RESPONSE
1754,0.031043444
1770,0.033362865
1465,0.0054012462
1470,0.005586769
1478,0.0067267893
1782,0.0064972667
1485,0.008814778
1519,0.029755509
1835,0.037221484
1522,0.00634308
1539,0.0054012462
1853,0.04323034
1856,0.026418274
2502,0.009804863
2182,0.041427623
2191,0.03484845
2522,0.029430613
2530,0.034644123
2215,0.005586769
2550,0.03387076
2570,0.0068406574
2574,0.006019284
2579,0.0057163998
2247,0.04095866
2674,0.0064972667
11434,0.006284114
11122,0.043995682
11127,0.05544193
11443,0.030816065
11170,0.014174479
11191,0.005936295
11198,0.027625328
10936,0.014174479
11244,0.006463358
11247,0.028979931
11252,0.0054012462
11259,0.014174479
10945,0.0054012462
10951,0.0064972667
11271,0.03082674
10963,0.03587401
11282,0.006811227
11291,0.006281699
10980,0.0054012462
10994,0.005779597
10998,0.014174479
11303,0.027184322
11630,0.005586769
11636,0.006019284
11949,0.006019284
11950,0.034857195
11956,0.035482675
11648,0.014174479
11653,0.032288175
11967,0.0054012462
11972,0.006810924
11975,0.008705848
12110,0.0054012462
12113,0.036595758
11712,0.00975259
11716,0.014174479
12000,0.0054012462
11722,0.029992824
12023,0.014174479
12046,0.007197317
11762,0.014174479
12071,0.00737403
12077,0.0064972667
11785,0.038655818
11788,0.005586769
11790,0.005639229
11800,0.033941384
11806,0.005586769
11816,0.0054012462
11505,0.0057163998
11837,0.0054012462
11531,0.029188316
11848,0.0054012462
11854,0.0054012462
11877,0.010467263
11563,0.005586769
11567,0.0060755755
11894,0.007197317
11906,0.006803728
11917,0.014174479
11610,0.014174479
11923,0.00785389
12596,0.006676975
12603,0.0060755755
12608,0.006532543
12633,0.0076855123
12637,0.0066726943
21484,0.014174479
21184,0.005584621
21247,0.007795695
20991,0.035880737
21018,0.006333206
21019,0.03829955
21047,0.0054012462
21054,0.005586769
21374,0.010752369
21392,0.0064972667
21713,0.005586769
22019,0.0065805884
22025,0.04099389
21722,0.029158356
21728,0.010467263
22039,0.014174479
22044,0.0055627353
61900,0.008117768
62548,0.031597145
63176,0.0054012462
64473,0.036408663
64779,0.050047997
64780,0.005586769
64784,0.0076855123
65105,0.014174479
65431,0.03454583
65433,0.07166769
66055,0.005586769
66071,0.014174479
61280,0.03250845
61281,0.024101807
61284,0.0056565576
61597,0.005586769
61606,0.0054012462
62235,0.037210625
62240,0.0054012462
62241,0.005639229
62555,0.038502727
62557,0.014174479
62565,0.0054012462
62566,0.05052173
63515,0.0060755755
63524,0.056326408
64797,0.0065607396
65116,0.014174479
75249,0.008324466
75253,0.03075044
75575,0.014174479
76212,0.0054012462
71422,0.00833538
72059,0.040529862
72060,0.0063702674
72383,0.0054012462
72386,0.0054012462
72700,0.006220485
72715,0.005586769
73028,0.005586769
73346,0.00634308
73658,0.006737761
73662,0.038692463
73666,0.014174479
73668,0.014174479
73985,0.047911957
74299,0.005586769
74310,0.03528994
74312,0.03986203
74619,0.0083204005
74620,0.0054012462
74627,0.005586769
74938,0.008960297
74952,0.0054012462
75911,0.0065805884
75913,0.005936295
76221,0.0054012462
76227,0.0056565576
71448,0.0054012462
15887,0.0056565576
15498,0.006362558
15504,0.03893612
15507,0.007761766
15521,0.0054012462
24403,0.0054012462
24100,0.036685076
24436,0.0054012462
24440,0.006220485
24442,0.014174479
24148,0.006504141
24149,0.006556536
24155,0.005586769
24458,0.0065805884
24169,0.03454583
24477,0.042454906
24479,0.0054012462
24486,0.0063622743
24190,0.024849521
24515,0.031666026
24214,0.040908232
25183,0.014174479
25207,0.0089078555
24889,0.028323615
24890,0.010752369
25226,0.014174479
25232,0.019855117
25244,0.0054012462
25339,0.0054012462
25355,0.046160463
24958,0.005639229
25277,0.0054012462
25286,0.033191312
